sernofx,Version,Holdouts Version,CB2b (Labeled)
4,1578,3,Definitely would subscribe
4,1578,3,Definitely would subscribe
4,1578,3,Definitely would subscribe
4,1578,3,Definitely would subscribe
4,1578,3,Definitely would subscribe
4,1578,3,Definitely would subscribe
4,1578,3,Definitely would subscribe
4,1578,3,Definitely would subscribe
4,1578,3,Definitely would subscribe
4,1578,3,Definitely would subscribe
4,1578,3,Definitely would subscribe
4,1578,3,Definitely would subscribe
4,1578,3,Definitely would subscribe
4,1578,3,Definitely would subscribe
4,1578,3,Definitely would subscribe
6,421,3,Definitely would subscribe
6,421,3,Definitely would subscribe
6,421,3,Definitely would subscribe
6,421,3,Definitely would subscribe
6,421,3,Definitely would subscribe
6,421,3,Definitely would subscribe
6,421,3,Definitely would subscribe
6,421,3,Definitely would subscribe
6,421,3,Definitely would subscribe
6,421,3,Definitely would subscribe
6,421,3,Definitely would subscribe
6,421,3,Definitely would subscribe
6,421,3,Definitely would subscribe
6,421,3,Definitely would not subscribe
6,421,3,Definitely would not subscribe
8,793,3,Probably would subscribe
8,793,3,Probably would subscribe
8,793,3,Probably would subscribe
8,793,3,Probably would subscribe
8,793,3,Definitely would subscribe
8,793,3,Probably would subscribe
8,793,3,Probably would subscribe
8,793,3,Probably would subscribe
8,793,3,Probably would subscribe
8,793,3,Probably would subscribe
8,793,3,Probably would subscribe
8,793,3,Probably would subscribe
8,793,3,Probably would subscribe
8,793,3,Probably would subscribe
8,793,3,Definitely would subscribe
9,34,2,Definitely would not subscribe
9,34,2,Probably would not subscribe
9,34,2,Definitely would not subscribe
9,34,2,Definitely would subscribe
9,34,2,Probably would subscribe
9,34,2,Probably would subscribe
9,34,2,Definitely would not subscribe
9,34,2,Definitely would not subscribe
9,34,2,Probably would subscribe
9,34,2,Probably would not subscribe
9,34,2,Definitely would subscribe
9,34,2,Probably would not subscribe
9,34,2,Probably would not subscribe
9,34,2,Definitely would subscribe
9,34,2,Probably would subscribe
16,27,1,Probably would subscribe
16,27,1,Probably would subscribe
16,27,1,Probably would subscribe
16,27,1,Probably would not subscribe
16,27,1,Probably would not subscribe
16,27,1,Probably would subscribe
16,27,1,Definitely would not subscribe
16,27,1,Definitely would not subscribe
16,27,1,Probably would subscribe
16,27,1,Probably would not subscribe
16,27,1,Probably would subscribe
16,27,1,Probably would subscribe
16,27,1,Probably would not subscribe
16,27,1,Probably would subscribe
16,27,1,Probably would subscribe
17,1834,3,Probably would subscribe
17,1834,3,Probably would subscribe
17,1834,3,Probably would not subscribe
17,1834,3,Probably would subscribe
17,1834,3,Probably would subscribe
17,1834,3,Probably would subscribe
17,1834,3,Probably would subscribe
17,1834,3,Probably would not subscribe
17,1834,3,Probably would subscribe
17,1834,3,Probably would not subscribe
17,1834,3,Probably would subscribe
17,1834,3,Probably would subscribe
17,1834,3,Probably would subscribe
17,1834,3,Probably would subscribe
17,1834,3,Probably would subscribe
25,1060,3,Probably would subscribe
25,1060,3,Probably would subscribe
25,1060,3,Probably would subscribe
25,1060,3,Probably would subscribe
25,1060,3,Probably would subscribe
25,1060,3,Probably would subscribe
25,1060,3,Probably would subscribe
25,1060,3,Probably would subscribe
25,1060,3,Probably would subscribe
25,1060,3,Probably would subscribe
25,1060,3,Probably would subscribe
25,1060,3,Probably would subscribe
25,1060,3,Probably would subscribe
25,1060,3,Probably would subscribe
25,1060,3,Probably would subscribe
26,1077,2,Definitely would not subscribe
26,1077,2,Definitely would subscribe
26,1077,2,Probably would subscribe
26,1077,2,Probably would subscribe
26,1077,2,Definitely would subscribe
26,1077,2,Probably would subscribe
26,1077,2,Probably would subscribe
26,1077,2,Probably would subscribe
26,1077,2,Probably would not subscribe
26,1077,2,Probably would subscribe
26,1077,2,Definitely would subscribe
26,1077,2,Probably would subscribe
26,1077,2,Definitely would subscribe
26,1077,2,Probably would subscribe
26,1077,2,Probably would subscribe
29,1546,2,Definitely would subscribe
29,1546,2,Definitely would subscribe
29,1546,2,Definitely would subscribe
29,1546,2,Definitely would subscribe
29,1546,2,Definitely would subscribe
29,1546,2,Definitely would subscribe
29,1546,2,Definitely would subscribe
29,1546,2,Definitely would subscribe
29,1546,2,Definitely would subscribe
29,1546,2,Definitely would subscribe
29,1546,2,Definitely would subscribe
29,1546,2,Definitely would subscribe
29,1546,2,Definitely would subscribe
29,1546,2,Definitely would subscribe
29,1546,2,Definitely would subscribe
30,157,2,Probably would subscribe
30,157,2,Probably would subscribe
30,157,2,Definitely would subscribe
30,157,2,Probably would subscribe
30,157,2,Probably would subscribe
30,157,2,Probably would subscribe
30,157,2,Probably would subscribe
30,157,2,Probably would subscribe
30,157,2,Definitely would subscribe
30,157,2,Probably would subscribe
30,157,2,Probably would subscribe
30,157,2,Probably would subscribe
30,157,2,Definitely would subscribe
30,157,2,Probably would subscribe
30,157,2,Probably would subscribe
36,785,3,Probably would subscribe
36,785,3,Definitely would subscribe
36,785,3,Probably would subscribe
36,785,3,Definitely would subscribe
36,785,3,Definitely would subscribe
36,785,3,Definitely would subscribe
36,785,3,Definitely would subscribe
36,785,3,Definitely would subscribe
36,785,3,Definitely would subscribe
36,785,3,Definitely would subscribe
36,785,3,Definitely would subscribe
36,785,3,Definitely would subscribe
36,785,3,Definitely would subscribe
36,785,3,Probably would not subscribe
36,785,3,Definitely would subscribe
41,1140,1,Probably would subscribe
41,1140,1,Probably would not subscribe
41,1140,1,Definitely would subscribe
41,1140,1,Probably would subscribe
41,1140,1,Probably would subscribe
41,1140,1,Probably would subscribe
41,1140,1,Definitely would subscribe
41,1140,1,Probably would subscribe
41,1140,1,Probably would subscribe
41,1140,1,Probably would subscribe
41,1140,1,Definitely would subscribe
41,1140,1,Probably would subscribe
41,1140,1,Probably would subscribe
41,1140,1,Probably would subscribe
41,1140,1,Probably would subscribe
45,1545,3,Probably would subscribe
45,1545,3,Probably would subscribe
45,1545,3,Probably would not subscribe
45,1545,3,Probably would not subscribe
45,1545,3,Probably would not subscribe
45,1545,3,Probably would subscribe
45,1545,3,Probably would subscribe
45,1545,3,Definitely would subscribe
45,1545,3,Probably would not subscribe
45,1545,3,Probably would subscribe
45,1545,3,Probably would subscribe
45,1545,3,Probably would subscribe
45,1545,3,Probably would subscribe
45,1545,3,Probably would subscribe
45,1545,3,Probably would not subscribe
46,929,3,Definitely would subscribe
46,929,3,Definitely would subscribe
46,929,3,Definitely would subscribe
46,929,3,Definitely would subscribe
46,929,3,Definitely would subscribe
46,929,3,Definitely would subscribe
46,929,3,Definitely would subscribe
46,929,3,Definitely would subscribe
46,929,3,Definitely would subscribe
46,929,3,Definitely would subscribe
46,929,3,Definitely would subscribe
46,929,3,Definitely would subscribe
46,929,3,Probably would subscribe
46,929,3,Definitely would subscribe
46,929,3,Definitely would subscribe
54,1628,2,Definitely would not subscribe
54,1628,2,Definitely would not subscribe
54,1628,2,Definitely would not subscribe
54,1628,2,Definitely would not subscribe
54,1628,2,Definitely would not subscribe
54,1628,2,Definitely would not subscribe
54,1628,2,Definitely would not subscribe
54,1628,2,Definitely would not subscribe
54,1628,2,Definitely would not subscribe
54,1628,2,Definitely would not subscribe
54,1628,2,Definitely would not subscribe
54,1628,2,Definitely would not subscribe
54,1628,2,Definitely would not subscribe
54,1628,2,Definitely would not subscribe
54,1628,2,Definitely would not subscribe
60,513,1,Probably would subscribe
60,513,1,Probably would subscribe
60,513,1,Probably would not subscribe
60,513,1,Definitely would subscribe
60,513,1,Probably would subscribe
60,513,1,Probably would subscribe
60,513,1,Probably would subscribe
60,513,1,Probably would subscribe
60,513,1,Probably would subscribe
60,513,1,Definitely would not subscribe
60,513,1,Probably would not subscribe
60,513,1,Definitely would subscribe
60,513,1,Probably would not subscribe
60,513,1,Probably would subscribe
60,513,1,Probably would not subscribe
68,569,4,Probably would subscribe
68,569,4,Probably would subscribe
68,569,4,Probably would subscribe
68,569,4,Probably would subscribe
68,569,4,Probably would subscribe
68,569,4,Probably would subscribe
68,569,4,Probably would subscribe
68,569,4,Probably would subscribe
68,569,4,Probably would subscribe
68,569,4,Probably would subscribe
68,569,4,Probably would subscribe
68,569,4,Probably would subscribe
68,569,4,Probably would subscribe
68,569,4,Probably would subscribe
68,569,4,Probably would subscribe
73,213,2,Probably would subscribe
73,213,2,Probably would subscribe
73,213,2,Probably would subscribe
73,213,2,Probably would subscribe
73,213,2,Probably would not subscribe
73,213,2,Probably would not subscribe
73,213,2,Probably would subscribe
73,213,2,Probably would not subscribe
73,213,2,Probably would subscribe
73,213,2,Definitely would not subscribe
73,213,2,Probably would subscribe
73,213,2,Probably would not subscribe
73,213,2,Probably would subscribe
73,213,2,Probably would subscribe
73,213,2,Probably would not subscribe
76,1147,1,Probably would not subscribe
76,1147,1,Definitely would not subscribe
76,1147,1,Definitely would not subscribe
76,1147,1,Probably would not subscribe
76,1147,1,Definitely would not subscribe
76,1147,1,Definitely would not subscribe
76,1147,1,Probably would not subscribe
76,1147,1,Definitely would not subscribe
76,1147,1,Definitely would not subscribe
76,1147,1,Probably would not subscribe
76,1147,1,Definitely would not subscribe
76,1147,1,Definitely would not subscribe
76,1147,1,Definitely would not subscribe
76,1147,1,Probably would not subscribe
